Nom de l'établissement,ville,region,latitude,longitude,surface
Coordination des médiathèques du Quercy Caussadais,Caussade,Occitanie,44.153949,1.527161,
Bibliothèque De Clessé,Clessé,Nouvelle-Aquitaine,46.716557,-0.405016,10.0
Bibliothèque de Arnac La Poste,Arnac-la-Poste,Nouvelle-Aquitaine,46.265565,1.374143,72.0
Médiathèque  municipale,Saïx,Occitanie,43.582817,2.18104,120.0
Bibliotheque de Villars le Pautel,Villars-le-Pautel,Bourgogne-Franche-Comté,47.894795,5.934542,60.0
Bibliothèque Municipale,Haimps,Nouvelle-Aquitaine,45.86779,-0.263764,80.0
MEDIATHEQUE,Saint-Malo,Bretagne,48.647374,-2.006683,2678.0
Médiathèque de Colombiers,Colombiers,Occitanie,43.313358,3.141969,285.0
Médiathèque intercommunale,Martigné-Ferchaud,Bretagne,47.831663,-1.320654,250.0
Médiathèque Kalliopê,Magalas,Occitanie,43.471804,3.224881,200.0
Médiathèque Municipale,Pirey,Bourgogne-Franche-Comté,47.256348,5.962757,230.0
Bibliothèque - Foyer Rural,Ruffey-lès-Beaune,Bourgogne-Franche-Comté,47.019166,4.911014,63.0
"Point lecture de Rountzenheim-Auenheim,",Rountzenheim-Auenheim,Grand Est,48.817278,8.009476,79.0
Bibliothèque de Torcy le Grand,Torcy-le-Grand,Normandie,49.791422,1.175162,
Mairie de Rocles,Rocles,Auvergne-Rhône-Alpes,46.425338,3.030673,0.0
Bibliothèque De Mougon,Aigondigné,Nouvelle-Aquitaine,46.292193,-0.289413,100.0
Ludothèque-Bibliothèque de Thiolières,Thiolières,Auvergne-Rhône-Alpes,45.585536,3.690762,60.0
Bibliothèque Associative Saint-Guénolé,Île-de-Sein,Bretagne,48.038341,-4.85049,
Médiathèque,Chaussenac,Auvergne-Rhône-Alpes,45.171786,2.278286,30.0
Bibliotheque Charlotte Delbo,Montrem,Nouvelle-Aquitaine,45.150333,0.574284,60.0
Bibliothèque municipale,Givenchy-lès-la-Bassée,Hauts-de-France,50.529143,2.75746,122.0
Plaisance du Gers,Plaisance,Occitanie,43.606648,0.047421,160.0
Bibliothèque Municipale de Brinon-sur-Beuvron,Brinon-sur-Beuvron,Bourgogne-Franche-Comté,47.281471,3.490676,34.0
Bibliothèque de Villedômer,Villedômer,Centre-Val de Loire,47.545978,0.88831,101.0
Bibliothèque de Marigné,Les Hauts d'Anjou,Pays de la Loire,47.697239,-0.535694,50.0
Mairie - Bibliothèque,Sainte-Colombe-sur-Seine,Bourgogne-Franche-Comté,47.87118,4.541831,0.0
Bibliothèque Les Mazurières,Rueil-Malmaison,Île-de-France,48.865725,2.194441,
Bibliothèque d'Aydius,Aydius,Nouvelle-Aquitaine,43.003337,-0.535999,30.0
Mediatheque Municipale,Ydes,Auvergne-Rhône-Alpes,45.346385,2.435707,375.0
Bibliothèque St-Vran,Saint-Vran,Bretagne,48.242323,-2.461462,
Mediatheque Intercommunale Pierre Sourbie Lauzerte,Lauzerte,Occitanie,44.25646,1.138555,300.0
Mediathèque Jacques Prévert,Montbard,Bourgogne-Franche-Comté,47.622439,4.338739,750.0
Bibliotheque Municipale,Soucy,Bourgogne-Franche-Comté,48.248447,3.325688,120.0
Espace Culturel de Bouzonville,Bouzonville,Grand Est,49.291111,6.531954,350.0
Médiathèque intercommunale  Sars Poteries,Sars-Poteries,Hauts-de-France,50.169218,4.026565,80.0
Bibliothèque municipale de La Digne-d'Aval,La Digne-d'Aval,Occitanie,43.046396,2.17921,25.0
CCMA - bibliothèque de Saint-Cyr-en-Pail,Saint-Cyr-en-Pail,Pays de la Loire,48.441145,-0.24362,35.0
Bibliotheque Municipale de Friville-Escarbotin,Friville-Escarbotin,Hauts-de-France,50.089871,1.548289,442.0
Bibliothèque,Le Pizou,Nouvelle-Aquitaine,45.038827,0.072194,110.0
Bibliothèque de Jobourg,La Hague,Normandie,49.683818,-1.903658,220.0
Médiathèque de Nouvion,Nouvion,Hauts-de-France,50.213496,1.773718,157.0
Bibliothèque Louis Aragon,Châtenay-Malabry,Île-de-France,48.762718,2.260899,
Bibliothèque Municipale de Cossaye,Cossaye,Bourgogne-Franche-Comté,46.749234,3.484124,40.0
Bibliothèque municipale de La Pesse,La Pesse,Bourgogne-Franche-Comté,46.284663,5.847358,
Bibliothèque de Ozouer-Le-Voulgis,Ozouer-le-Voulgis,Île-de-France,48.659315,2.771173,0.0
Bibliothèque municipale de Dounoux,Dounoux,Grand Est,48.107132,6.443536,23.0
Relais lecture de Cuttoli,Cuttoli-Corticchiato,Corse,41.968173,8.845931,30.0
Bibliothèque de Beaumont-Hague,La Hague,Normandie,49.667244,-1.831557,160.0
Bibliothèque de Louroux de Bouble,Louroux-de-Bouble,Auvergne-Rhône-Alpes,46.226382,2.966805,0.0
Mediatheque intercommunale de Montmirail,Montmirail,Grand Est,48.838726,3.584022,273.0
Médiathèque de l'Accolade,Chevaigné,Bretagne,48.212017,-1.630248,240.0
Bibliothèque de Saint-Jean de Ceyrargues,Saint-Jean-de-Ceyrargues,Occitanie,44.050996,4.227185,80.0
Bibliotheque Saint Meard,Saint-Méard,Nouvelle-Aquitaine,45.664407,1.548543,159.0
Mairie de La Ferté-Hauterive,La Ferté-Hauterive,Auvergne-Rhône-Alpes,46.397247,3.340862,0.0
Médiatheque Maison du Savoir,Saint-Laurent-de-Neste,Occitanie,43.079769,0.4811,165.0
Mediatheque Communautaire de Douchy-les-MInes,Douchy-les-Mines,Hauts-de-France,50.299953,3.390332,1100.0
Médiathèque de Presles-en-Brie,Presles-en-Brie,Île-de-France,48.71574,2.737263,326.0
Réseau des bibliothèques Brionnais Sud Bourgone,Chauffailles,Bourgogne-Franche-Comté,46.207258,4.33974,
Médiathèque de Ribeauvillé,Ribeauvillé,Grand Est,48.194617,7.321402,500.0
Bibliothèque municipale de La Couyère,La Couyère,Bretagne,47.890112,-1.505305,100.0
Point lecture de Castillon-Debats,Castillon-Debats,Occitanie,43.729343,0.217135,28.0
Bibliothèque communale St-Sorlin-en-Valloire,Saint-Sorlin-en-Valloire,Auvergne-Rhône-Alpes,45.288617,4.949756,52.0
Médiathèque Ludothèque,Landéda,Bretagne,48.586921,-4.57161,300.0
CCMA - Bibliothèque de Lignières-Orgères,Lignières-Orgères,Pays de la Loire,48.553832,-0.234069,45.0
BIBLIOTHEQUE de GENCAY,Gençay,Nouvelle-Aquitaine,46.372336,0.405502,120.0
Bibliothèque Municipale d'Evry Gregy sur Yerre,Évry-Grégy-sur-Yerre,Île-de-France,48.655708,2.63901,45.0
Bibliothèque de Fiancey,Saint-Égrève,Auvergne-Rhône-Alpes,45.224111,5.689893,191.0
Bibliotheque Colette Vivier,Saint-Jean-de-la-Ruelle,Centre-Val de Loire,47.902535,1.870504,128.0
Médiathèque municipale,Anzin-Saint-Aubin,Hauts-de-France,50.312263,2.747444,400.0
Bibliothèque Municipale de Susville,Susville,Auvergne-Rhône-Alpes,44.927565,5.772834,80.0
Bibliotheque de Treuzy-Levelay,Treuzy-Levelay,Île-de-France,48.27314,2.811165,0.0
Réseau du Haut Poitou,Neuville-de-Poitou,Nouvelle-Aquitaine,46.681356,0.26241,0.0
Bibliothèque de Maël-Pestivien,Maël-Pestivien,Bretagne,48.395413,-3.295143,
Bibliothèque de Reignac-sur-Indre,Reignac-sur-Indre,Centre-Val de Loire,47.22781,0.912851,42.0
